                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0641,                 4.4398,                 1.2904,                0.02162,                0.76638,                0.04583,                0.04068,                0.64121,                 3.5118,                 1.0262,             5.8011e-05,             5.8011e-05,             5.8011e-05
                      2,                0.83847,                 3.7037,                 1.1575,                0.26206,                0.22998,                 0.1441,                 0.1259,                0.60677,                 2.8822,                  1.028,             0.00010867,             0.00010867,             0.00010867
                      3,                0.84656,                 3.0088,                  1.201,                0.24175,                0.54022,                0.29756,                0.25837,                0.62574,                 2.1701,                 1.0575,             0.00015162,             0.00015162,             0.00015162
                      4,                0.80801,                 2.5609,                 1.1784,                0.30971,                 0.6823,                0.45439,                0.40129,                0.59097,                  1.818,                 1.0441,             0.00014035,             0.00014035,             0.00014035
                      5,                0.76155,                 2.2367,                 1.1503,                0.44308,                 0.7359,                0.60047,                0.52925,                 0.5826,                  1.466,                 1.0542,              0.0001288,              0.0001288,              0.0001288
                      6,                0.68447,                 1.8676,                 1.1203,                0.58431,                0.78903,                0.74756,                0.65777,                0.59058,                 1.1675,                 1.0964,             0.00011725,             0.00011725,             0.00011725
                      7,                0.65334,                 1.6485,                 1.0932,                0.65473,                0.85127,                0.84178,                0.74525,                0.56903,                0.95359,                 1.0911,              0.0001057,              0.0001057,              0.0001057
                      8,                0.63637,                 1.5045,                 1.0775,                0.72261,                0.88712,                0.87271,                0.77367,                0.56867,                0.83457,                  1.084,              9.415e-05,              9.415e-05,              9.415e-05
                      9,                0.62561,                 1.4156,                 1.0681,                0.81328,                0.90106,                0.92246,                0.82592,                0.54173,                0.72862,                 1.0603,               8.26e-05,               8.26e-05,               8.26e-05
                     10,                0.61387,                 1.3379,                 1.0574,                0.83379,                0.90354,                0.94026,                0.83732,                0.55196,                0.68263,                 1.0693,              7.105e-05,              7.105e-05,              7.105e-05
                     11,                0.60468,                 1.2692,                 1.0496,                0.86893,                0.92325,                0.95539,                0.85511,                0.53904,                0.61885,                 1.0513,               5.95e-05,               5.95e-05,               5.95e-05
                     12,                0.59604,                 1.2186,                 1.0503,                   0.89,                0.94368,                0.96165,                0.86599,                0.52926,                0.58044,                 1.0528,              4.795e-05,              4.795e-05,              4.795e-05
                     13,                0.59186,                 1.1831,                 1.0423,                0.90233,                0.93767,                0.96794,                0.86941,                 0.5263,                0.56451,                 1.0441,               3.64e-05,               3.64e-05,               3.64e-05
                     14,                0.58233,                 1.1508,                 1.0338,                0.91751,                0.94443,                 0.9706,                0.87582,                0.52779,                0.53703,                 1.0497,              2.485e-05,              2.485e-05,              2.485e-05
                     15,                0.57836,                 1.1265,                 1.0271,                0.92346,                0.94883,                0.97478,                0.87887,                0.52485,                0.52951,                 1.0454,               1.33e-05,               1.33e-05,               1.33e-05
