                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68433,                 1.5559,                 1.0811,                0.89311,                0.92913,                0.96763,                0.86474,                0.54617,                0.58702,                  1.072,             5.8011e-05,             5.8011e-05,             5.8011e-05
                      2,                0.66319,                 1.4069,                 1.0673,                0.89986,                 0.9233,                0.96427,                0.86488,                0.53866,                0.60065,                 1.0469,             0.00010867,             0.00010867,             0.00010867
                      3,                0.66254,                 1.3451,                 1.0652,                0.90059,                0.93618,                0.97169,                0.86578,                0.55631,                0.56792,                 1.0562,             0.00015162,             0.00015162,             0.00015162
                      4,                0.64772,                 1.2812,                 1.0511,                0.94731,                0.93785,                0.98042,                0.87806,                0.54189,                0.49448,                 1.0645,             0.00014035,             0.00014035,             0.00014035
                      5,                0.64395,                 1.2166,                 1.0512,                0.94746,                0.95315,                0.98157,                0.88626,                0.51995,                0.46664,                 1.0447,              0.0001288,              0.0001288,              0.0001288
                      6,                0.58985,                 1.0057,                 1.0274,                0.94525,                0.94413,                0.98318,                0.88245,                0.54096,                0.47134,                 1.0519,             0.00011725,             0.00011725,             0.00011725
                      7,                0.57139,                0.92774,                 1.0163,                0.95367,                 0.9556,                 0.9842,                0.88633,                0.52377,                0.42457,                 1.0496,              0.0001057,              0.0001057,              0.0001057
                      8,                0.56441,                0.89029,                 1.0132,                0.96796,                0.94837,                0.98767,                0.88872,                0.52992,                0.40688,                 1.0453,              9.415e-05,              9.415e-05,              9.415e-05
                      9,                0.55809,                0.86685,                   1.01,                0.96317,                0.96713,                0.98742,                0.89517,                0.51606,                 0.3918,                 1.0339,               8.26e-05,               8.26e-05,               8.26e-05
                     10,                0.55019,                 0.8318,                 1.0015,                0.96538,                0.97035,                0.99037,                0.89922,                0.51207,                0.37713,                 1.0294,              7.105e-05,              7.105e-05,              7.105e-05
                     11,                0.54664,                0.82477,                 1.0002,                 0.9543,                0.97573,                0.98943,                0.89653,                0.50807,                0.36382,                 1.0183,               5.95e-05,               5.95e-05,               5.95e-05
                     12,                0.54025,                0.80452,                0.99609,                0.97656,                0.96965,                0.99163,                0.89996,                0.50269,                0.35259,                 1.0191,              4.795e-05,              4.795e-05,              4.795e-05
                     13,                0.53607,                0.78313,                0.99517,                0.98017,                0.96263,                0.99007,                0.89918,                0.50184,                0.35129,                 1.0198,               3.64e-05,               3.64e-05,               3.64e-05
                     14,                0.53089,                0.77303,                 0.9903,                0.97999,                0.96986,                0.99151,                0.90125,                0.49555,                0.34345,                 1.0099,              2.485e-05,              2.485e-05,              2.485e-05
                     15,                0.52575,                0.76766,                0.98493,                0.98011,                0.97622,                0.99223,                0.90466,                0.49104,                0.33928,                 1.0081,               1.33e-05,               1.33e-05,               1.33e-05
